kartez,family,genus,sp_epithet,subspecies_variety,common_name,Native,PhotoPath,LifeHistory,FunctionalGroup
MEPE6,Loasaceae,Mentzelia,perennis,,perennial blazingstar,y,C3,p,f
MESC,Oleaceae,Menodora,scabra,,rough menodora,y,C3,p,f
MESCS,Oleaceae,Menodora,scabra,,rough menodora,y,C3,p,f
MIAL4,Nyctaginaceae,Mirabilis,albida,,white four o'clock,y,C3,p,f
MIGL3,Nyctaginaceae,Mirabilis,glabra,,Smooth four o'clock,y,C3,p,f
MILI3,Nyctaginaceae,Mirabilis,linearis,,narrowleaf four o'clock,y,C3,p,f
MIMU,Nyctaginaceae,Mirabilis,multiflora,,Colorado four o'clock,y,C3,p,f
MIOB2,Caryophyllaceae,Minuartia,obtusiloba,,twinflower sandwort,y,NA,p,f
MIOX,Nyctaginaceae,Mirabilis,oxybaphoides,,smooth spreading four o'clock,y,C3,p,f
MIPU6,Nyctaginaceae,Mirabilis,pumila,,dwarf four o'clock,y,C3,p,f
MOCE,Molluginaceae,Mollugo,cerviana,,threadstem carpetweed,n,C3-C4,a,f
MUAR,Poaceae,Muhlenbergia,arenacea,,ear muhly,y,C4,p,g
MUAR2,Poaceae,Muhlenbergia,arenicola,,sand muhly,y,C4,p,g
MUAS,Poaceae,Muhlenbergia,asperifolia,,Parodi scratchgrass,y,C4,p,g
MUFR,Poaceae,Muhlenbergia,fragilis,,delicate muhly,y,C4,a,g
MUMO,Poaceae,Muhlenbergia,montana,,mountain muhly,y,C4,p,g
MUPA2,Poaceae,Muhlenbergia,pauciflora,,New Mexico muhly,y,C4,p,g
MUPO2,Poaceae,Muhlenbergia,porteri,,bush muhly,y,C4,p,g
MURE,Poaceae,Muhlenbergia,repens,,creeping muhly,y,C4,p,g
MURI2,Poaceae,Muhlenbergia,rigens,,deergrass,y,C4,p,g
MUSE,Poaceae,Muhlenbergia,setifolia,,curlyleaf muhly,y,C4,p,g
MUSQ3,Poaceae,Munroa,squarrosa,,false buffalograss,y,C4,a,g
MUTE4,Poaceae,Muhlenbergia,tenuifolia,,slender muhly,y,C4,p,g
MUTO2,Poaceae,Muhlenbergia,torreyi,,ring muhly,y,C4,p,g
NACA,Hydrophyllaceae,Nama,carnosum,,sand fiddleleaf,y,C3,p,f
NADI,Hydrophyllaceae,Nama,dichotomum,,wishbone fiddleleaf,y,C3,a,f
NAHI,Hydrophyllaceae,Nama,hispidum,,bristly nama,y,C3,a,f
NECA3,Brassicaceae,Nerisyrenia,camporum,,bicolor fanmustard,y,C3,p,f
NELI,Brassicaceae,Nerisyrenia,linearifolia,,White Sands fanmustard,y,C3,p,f
NOMI,Liliaceae,Nolina,microcarpa,,sacahuista,y,C3,p,s
NOST,Pteridaceae,Notholaena,standleyi,,star cloak fern,y,C3,p,f
NYCT,Nyctaginaceae,,NA,,NA,NA,C3-C4,ap,f
OEAL,Onagraceae,Oenothera,albicaulis,,whitest evening primrose,y,C3,a,f
OECA10,Onagraceae,Oenothera,caespitosa,,tufted evening primrose,y,C3,p,f
OECAC2,Onagraceae,Oenothera,caespitosa,subsp. caespitosa,tufted evening primrose,y,C3,p,f
OECEC2,Onagraceae,Oenothera,caespitosa,subsp. caespitosa,tufted evening primrose,y,C3,p,f
OECO2,Onagraceae,Oenothera,coronopifolia,,crownleaf evening primrose,y,C3,p,f
OEELH,Onagraceae,Oenothera,elata,subsp. hirsutissima,Hooker's evening primrose,y,C3,p,f
OEPA,Onagraceae,Oenothera,pallida,,pale evening primrose,y,C3,p,f
OEPAG,Onagraceae,Oenothera,pallida,subsp. gypsophila,whitepole evening primrose,y,C3,p,f
OEPAR,Onagraceae,Oenothera,pallida,subsp. runcinata,pale evening primrose,y,C3,p,f
OEPAT,Onagraceae,Oenothera,pallida,subsp. trichocalyx,pale evening primrose,y,C3,p,f
OESU3,Onagraceae,Oenothera,suffrutescens,,scarlet beeblossom,y,C3,p,f
OESUN,Onagraceae,Oenothera,suffulta,nealleyi,Nealley's kisses,y,C3,a,f
OPEN3,Cactaceae,Opuntia,engelmannii,,cactus apple,y,CAM,p,s
OPFR,Cactaceae,Opuntia,fragilis,,brittle pricklypear,y,CAM,p,s
OPMA8,Cactaceae,Opuntia,macrocenta ,,purple pricklypear,y,CAM,p,s
OPPH,Cactaceae,Opuntia,phaeacantha,,tulip pricklypear,y,CAM,p,s
OPPHP,Cactaceae,Opuntia,phaeacantha,,tulip pricklypear,y,CAM,p,s
OPPO,Cactaceae,Opuntia,polyacantha,,plains pricklypear,y,CAM,p,s
OPPOE,Cactaceae,Opuntia,polyacantha,var. erinacea,grizzlybear pricklypear,y,CAM,p,s
OPPOP,Cactaceae,Opuntia,polyacantha,var. polyacantha,hairspine pricklypear,y,CAM,p,s
OPUNT,Cactaceae,Opuntia,NA,,prickly pear,NA,CAM,p,s
ORLUM,Orobanchaceae,Orobanche,ludoviciana,subsp. multiflora,manyflowered broomrape,y,C3,a,f
OXVI,Oxalidaceae,Oxalis,violacea,,violet woodsorrel,y,C3,p,f
PACA6,Poaceae,Panicum,capillare,,witchgrass,y,C4,a,g
PACO11,Asteraceae,Parthenium,confertum,,Gray's feverfew,y,NA,p,f
PAFI4,Fabaceae,Parryella,filifolia,,common dunebroom,y,C3,p,s
PAHA,Poaceae,Panicum,hallii,,Hall's panicgrass,y,C4,p,g
PAHI5,Poaceae,Panicum,hirticaule,,Mexican panicgrass,y,C4,a,g
PAIN2,Asteraceae,Parthenium,incanum,,mariola,y,C3,p,s
PAJA,Caryophyllaceae,Paronychia,jamesii,,James' nailwort,y,C3,p,f
PAOB,Poaceae,Panicum,obtusum,,vine mesquite,y,C4,p,g
PAQU2,Vitaceae,Parthenocissus,quinquefolia,,Virginia creeper,y,C3,p,s
PASM,Poaceae,Pascopyrum,smithii,,western wheatgrass,y,C3,p,g
PASP,Asteraceae,Palafoxia,sphacelata,,othake,y,C3,a,f
PEAM,Scrophulariaceae,Penstemon,ambiguus,,Gilia beardtongue,y,C3,p,f
PEAML2,Scrophulariaceae,Penstemon,ambiguus,var. laevissimus,pink plains beardtongue,y,C3,p,f
PEAN,Asteraceae,Pectis,angustifolia,,lemonscent,y,C4,a,f
PEBA2,Scrophulariaceae,Penstemon,barbatus,,beardlip penstemon,y,C3,p,f
PEBAT,Scrophulariaceae,Penstemon,barbatus,var. torreyi,Torrey's penstemon,y,C3,p,f
PECA10,Asteraceae,Pericome,caudata,,mountian tail-leaf,y,C3,p,f
PECA12,Rosaceae,Petrophyton,caespitosum,,mat rockspirea,y,C3,p,f
PEFE,Scrophulariaceae,Penstemon,fendleri,,Fendler's penstemon,y,C3,p,f
PEHY4,Fabaceae,Pediomelum,hypogaeum,,subterranean Indian breadroot,y,C3,p,f
PEJA,Scrophulariaceae,Penstemon,jamesii,,James' beardtongue,y,C3,p,f
PELO3,Brassicaceae,Pennellia,longifolia,,longleaf mock thelypody,y,C3,p,f
PEOP,Scrophulariaceae,Penstemon,ophianthus,,coiled anther penstemon,y,C3,p,f
PEVI4,Scrophulariaceae,Penstemon,virgatus,,upright blue beardtongue,y,C3,p,f
PHACE,Hydrophyllaceae,Phacelia,NA,,phacelia,NA,C3,,f
PHAN3,Fabaceae,Phaseolus,angustissimus,,slimleaf bean,y,C3,p,f
PHCO,Hydrophyllaceae,Phacelia,coerulea,,skyblue phacelia,y,C3,a,f
PHCR,Hydrophyllaceae,Phacelia,crenulata,var. corrugata,cleafleaf wildheliotrope,y,C3,a,f
PHHE4,Solanaceae,Physalis,hederifolia,,ivyleaf groundcherry,y,C3,p,f
PHHEF,Solanaceae,Physalis,hederifolia,var. fendleri,Fendler's groundcherry,y,C3,p,f
PHHEH2,Solanaceae,Physalis,hederifolia,var. hederifolia,ivyleaf groundcherry,y,C3,p,f
PHIN,Hydrophyllaceae,Phacelia,integrifolia,,gypsum phacelia,y,C3,p,f
PHINI5,Hydrophyllaceae,Phacelia,integrifolia,var. integrifolia,gypsum phacelia,y,C3,p,f
PHJU,Viscaceae,Phoradendron,juniperinum,,juniper mistletoe,y,C3,p,s
PHLO15,Portulacaceae,Phemeranthus,longipes,,pink fameflower,y,NA,p,f
PHLOL3,Solanaceae,Physalis,longifolia,var. longifolia,longleaf groundcherry,y,C3,p,f
PHPA29,Portulacaceae,Phemeranthus,parviflorus,,sunbright,y,NA,p,f
PHYSA,Solanaceae,Physalis,NA,,NA,NA,C3,p,f
