PASTTRAN,PASTURE,TRANSECT,ORIGIN,ECOSITE,MESQSTAT,1994 Burn,2017 Burn,2018 Burn,SPECIES,YR1953,YR1954,YR1955,YR1956,YR1957,YR1958,YR1959,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1970,YR1975,YR1978,YR1981,YR1984,YR1991,YR1994,YR1997,YR2000,YR2003,YR2006,YR2009,YR2012,YR2015,YR2018,YR2021
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,LEDU,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,LYAN,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,LYCI,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,LYPA,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,LYPH,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,LYTO,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,MAMM,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,MIBI,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,MIDY,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,MUAR,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,MUPO,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,0,8,2,0,0,1,1,2,4,1,2,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,OPAC,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,OPAR,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,OPEN,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,2,7,15,24,28,37,90,74,0,4,11,24,10,26,45,36,22,51,40
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,OPFU,-9999,-9999,-9999,-9999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,OPLE,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,OPSP,-9999,-9999,-9999,-9999,24,54,47,49,22,42,40,39,28,19,22,8,11,3,0,0,0,0,0,4,7,4,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,OPVE,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,OTHERPG,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,OTHSHRUB,-9999,-9999,-9999,-9999,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,PAMU,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,PECI,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,PRVE,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2,23,74,97,120,165,206,262,310,419
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,SEMA,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,0,0,0,2,0,0,0,0,0,1,2,2
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,SIHY,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,SPOR,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,YUEL,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,ZIOB,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,2N,01E,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",DEAD,NO,NO,NO,ZIPU,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2N,01W,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",LIVE,NO,NO,NO,ACAN,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2N,01W,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",LIVE,NO,NO,NO,ACCO,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2N,01W,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",LIVE,NO,NO,NO,ACGR,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2N,01W,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",LIVE,NO,NO,NO,AGAV,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2N,01W,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",LIVE,NO,NO,NO,ALWR,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2N,01W,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",LIVE,NO,NO,NO,ANBA,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,-9999,-9999,-9999,0,0,1,0,0,0,1,2,0,0,0,0
302,2N,01W,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",LIVE,NO,NO,NO,ANTH,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2N,01W,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",LIVE,NO,NO,NO,APTE,-9999,-9999,-9999,-9999,37,86,35,102,34,62,91,89,60,126,96,39,37,47,170,167,98,18,32,15,4,0,2,0,5,29
302,2N,01W,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",LIVE,NO,NO,NO,ARIS,-9999,-9999,-9999,-9999,0,1,1,1,2,2,0,1,1,2,1,-9999,-9999,-9999,0,3,2,2,1,1,0,1,0,0,0,3
302,2N,01W,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",LIVE,NO,NO,NO,ATCA,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,2N,01W,FSRM 1706-09,"Sandy Loam Deep, MLRA 41-3, 12-16"" Pz",LIVE,NO,NO,NO,ATCO,-9999,-9999,-9999,-9999,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
