water_yr,pdo,nino34,pdsi,spei,yearly_ppt_mm,summer_ppt_mm,summer_pdsi,summer_spei,summer_tmax,summer_tmin,winter_ppt_mm,winter_pdsi,winter_spei,winter_tmax,winter_tmin,pdo_phase,enso_phase
1998,0.725,0.984166667,-0.118333333,-0.045061692,187.71,99.07,-0.506,-0.655937147,33.75666667,13.77038588,88.64,0.158571429,0.391277918,18.31274924,-2.496978654,warm,ElNino
1999,-0.766666667,-1.09,-0.350833333,0.096757726,329.96,227.33,-0.282,0.432350371,31.99856955,13.98849426,102.63,-0.4,-0.142951305,20.38561318,-0.479168866,cool,LaNina
2000,-0.973333333,-1.019166667,-0.815,-0.652204247,243.59,196.59,0.142,-0.486532234,34.2069697,14.23805195,47,-1.498571429,-0.770541399,21.41419962,-1.937962764,cool,LaNina
2001,-0.375,-0.438333333,-0.144166667,-0.004191924,251.2,117.86,-0.994,-0.600401722,33.94798319,13.70857143,133.34,0.462857143,0.421672218,18.76449275,-1.941747714,cool,LaNina
2002,-0.411666667,0.174166667,-2.851666667,-0.539738012,192.79,155.97,-2.37,-0.433185779,33.6879386,13.43271414,36.82,-3.195714286,-0.61584675,20.49050778,-2.166196742,cool,Neutral
2003,1.165,0.473333333,-0.9175,-0.183423254,175.79,56.38,-0.85,-1.003010744,34.09450128,13.51044331,119.41,-0.965714286,0.401996381,19.42302982,-2.082857385,cool,ElNino
2004,0.560833333,0.295,-1.836666667,0.348949554,345.16,220.47,-0.036,0.457217536,32.42986869,12.57417409,124.69,-3.122857143,0.27161528,19.86174086,-1.546653274,cool,Neutral
2005,0.5175,0.319166667,3.330833333,0.452093266,295.13,108.7,2.996,-0.337387775,33.80052305,13.26043369,186.43,3.57,1.016008295,17.87474162,0.046814212,cool,ElNino
2006,-0.016666667,-0.254166667,-1.388333333,-0.219727161,348.98,307.58,-1.524,0.428175716,31.83419355,14.59569892,41.4,-1.291428571,-0.68251493,20.87237584,-2.352635079,cool,Neutral
2007,0.0525,0.059166667,4.675833333,0.372790008,348.21,223.51,3.94,0.598637021,32.40070449,14.15866518,124.7,5.201428571,0.211470713,18.8606493,-2.028845484,cool,ElNino
2008,-1.228333333,-0.965,-0.045,0.028021058,317.22,284.21,0.306,0.523889855,31.64400445,13.14619948,33.01,-0.295714286,-0.326170941,20.01646198,-2.621121425,cool,LaNina
2009,-0.931666667,-0.133333333,-0.0575,-0.325265877,154.19,127.27,-1.298,-0.218592164,32.84296573,13.79486755,26.92,0.828571429,-0.401461386,20.2130998,-2.958087028,cool,LaNina
2010,-0.059166667,0.329166667,1.998333333,0.280918898,203.48,118.38,2.73,-0.052415306,32.37821537,12.9800363,85.1,1.475714286,0.519014757,17.2718517,-2.425644777,cool,ElNino
2011,-1.033333333,-0.996666667,-1.705,-0.503816597,120.64,107.69,-2.916,-0.470258685,33.95638911,13.06199994,12.95,-0.84,-0.527786534,19.96698719,-3.78075004,cool,LaNina
2012,-1.4,-0.323333333,-1.9125,-0.221169291,152.91,75.43,-1.178,-0.587884289,32.95540047,13.4333888,77.48,-2.437142857,0.040769993,18.76148303,-2.587537864,cool,LaNina
2013,-0.556666667,-0.156666667,-3.140833333,-0.098312499,230.9,216.68,-2.476,0.142602282,32.10095238,14.405,14.22,-3.615714286,-0.270394486,18.76328089,-3.908161577,cool,Neutral
2014,0.538333333,0.046666667,-1.538333333,-0.235518488,184.37,169.65,-2.3,0.01812622,32.22058756,14.67555878,14.72,-0.994285714,-0.41669328,18.98978239,-2.547406525,cool,Neutral
2015,1.8325,1.036666667,1.919166667,-0.523283872,289.05,192.04,1.902,-0.107303899,33.08628947,14.71701997,97.01,1.931428571,NA,21.62740103,4.063447989,cool,ElNino
2016,1.52,1.165,0.979166667,-0.509863575,155.71,87.13,-0.24,-0.769205647,33.37481467,14.31215672,68.58,1.85,-0.324619238,19.7305483,-0.904613592,cool,ElNino
2017,0.76,-0.175833333,1.683333333,-0.146916258,324.38,230.39,2.054,0.388176118,32.898821,13.95856624,93.99,1.418571429,-0.529125097,20.85031479,1.313670056,cool,Neutral
2018,0.19,-0.355833333,-0.800833333,-0.837330256,211.836,146.304,-1.574,-0.562290583,34.19295443,14.60141435,65.532,-0.248571429,-1.033787166,21.50933236,0.523252124,cool,LaNina
2019,0.6025,0.616666667,0.759166667,-0.12301055,247.65,119.126,0.126,-0.394998281,33.76537838,13.99207018,128.524,1.211428571,0.071266401,18.76473678,-0.273718803,cool,ElNino
2020,-0.248333333,0.193333333,2.031666667,0.009624749,313.69,121.412,2.196,-0.848113191,34.96663276,13.9635931,192.278,1.914285714,0.622294706,19.0880688,-0.489481515,cool,Neutral
