year,month,pdsi
1965,2,-2.49
1965,3,-2.43
1965,4,-2.59
1965,5,-2.68
1965,6,-2.42
1965,7,-2.8
1965,8,-2.74
1965,9,5.98
1965,10,-2.15
1965,11,-2.55
1965,12,-1.67
1966,1,-1.32
1966,2,-1.12
1966,3,-0.65
1966,4,-0.17
1966,5,-0.71
1966,6,2.23
1966,7,1.44
1966,8,1.85
1966,9,8.08
1966,10,0.97
1966,11,-0.28
1966,12,-1.44
1967,1,-1.8
1967,2,-2
1967,3,-2.62
1967,4,-2.86
1967,5,-2.87
1967,6,-1.73
1967,7,-1.88
1967,8,-1.11
1967,9,7.2
1967,10,-1.07
1967,11,-0.97
1967,12,-0.16
1968,1,0.29
1968,2,1.35
1968,3,2.53
1968,4,2.93
1968,5,2.3
1968,6,1.43
1968,7,2.47
1968,8,3.15
1968,9,8.26
1968,10,1.35
1968,11,2.03
1968,12,1.69
1969,1,1.09
1969,2,0.51
1969,3,0.02
1969,4,-0.79
1969,5,-0.7
1969,6,-1.2
1969,7,-0.2
1969,8,-0.85
1969,9,7.39
1969,10,-0.16
1969,11,-0.56
1969,12,0.16
1970,1,-0.57
1970,2,-0.27
1970,3,-0.23
1970,4,-0.74
1970,5,-1.17
1970,6,-1.35
1970,7,-0.95
1970,8,-1.74
1970,9,5.75
1970,10,-1.41
1970,11,-1.84
1970,12,-2.16
1971,1,-2.44
1971,2,-2.78
1971,3,-3.25
1971,4,-3.12
1971,5,-3.33
1971,6,-3.55
1971,7,-3.49
1971,8,-2.85
1971,9,5.03
1971,10,-1.78
1971,11,-1.6
1971,12,-1.05
1972,1,-1.14
1972,2,-1.48
1972,3,-2.41
1972,4,-2.66
1972,5,-2.63
1972,6,-1.45
1972,7,-1.52
1972,8,2.32
1972,9,8.83
1972,10,3.93
1972,11,3.95
1972,12,3.63
1973,1,3.96
1973,2,5.15
1973,3,5.33
1973,4,5.18
1973,5,5.73
1973,6,5.52
1973,7,5.94
1973,8,5.1
1973,9,8.63
1973,10,2.39
1973,11,1.58
1973,12,-0.15
1974,1,-0.47
1974,2,-2.18
1974,3,-3.1
1974,4,-3.26
1974,5,-3.4
1974,6,-3.74
1974,7,-2.03
1974,8,-0.74
1974,9,9.06
1974,10,4.96
1974,11,4.7
1974,12,4.5
1975,1,4.3
1975,2,4.17
1975,3,4.3
1975,4,3.83
1975,5,3.41
1975,6,2.5
1975,7,2.71
1975,8,1.9
1975,9,9.06
1975,10,2.68
1975,11,2.29
1975,12,1.91
1976,1,1.45
1976,2,1.01
1976,3,-0.89
1976,4,-1
1976,5,-0.09
1976,6,-0.3
1976,7,0.44
1976,8,-1.12
1976,9,7.68
1976,10,1.06
1976,11,1.35
1976,12,0.71
1977,1,0.98
1977,2,0.34
1977,3,0.36
1977,4,-0.07
1977,5,-0.71
1977,6,-1.13
1977,7,-0.92
1977,8,-0.87
1977,9,6.81
1977,10,-0.78
1977,11,-1.23
1977,12,-1.62
1978,1,-1.47
1978,2,-0.99
1978,3,-1.15
1978,4,-1.56
1978,5,-0.96
1978,6,-0.49
1978,7,-1.63
1978,8,-1.11
1978,9,-15.63
1978,10,1.55
1978,11,3.54
1978,12,3.63
1979,1,4.17
1979,2,3.94
1979,3,3.76
1979,4,3.83
1979,5,4.45
1979,6,4.55
1979,7,4.04
1979,8,4.89
1979,9,0
1979,10,3.08
1979,11,2.38
1979,12,2.37
1980,1,2.37
1980,2,2.71
1980,3,2.76
1980,4,2.57
1980,5,2.57
1980,6,1.53
1980,7,-1.47
1980,8,-1.62
1980,9,0
1980,10,-0.48
1980,11,-0.62
1980,12,-1.4
1981,1,-0.93
1981,2,-1.3
1981,3,-1.36
1981,4,-1.2
1981,5,-0.79
1981,6,-0.77
1981,7,-0.86
1981,8,-0.72
1981,9,0
1981,10,-0.78
1981,11,-0.57
1981,12,-1.35
1982,1,-1.07
1982,2,-1.13
1982,3,-1.66
1982,4,-1.99
1982,5,-1.76
1982,6,-1.94
1982,7,-2.31
1982,8,-2.54
1982,9,0
1982,10,-2.02
1982,11,-1.59
1982,12,0.96
1983,1,2.01
1983,2,2.22
1983,3,2.63
1983,4,3.33
1983,5,3.59
1983,6,3.22
1983,7,2.06
1983,8,1.03
1983,9,0
1983,10,0.86
1983,11,1.77
1983,12,1.13
1984,1,1.06
1984,2,0.15
1984,3,-0.5
1984,4,-1.08
1984,5,-0.79
1984,6,0.16
1984,7,-0.9
1984,8,2.73
1984,9,0
1984,10,3.83
1984,11,4.23
1984,12,5.69
