"year","smoothed_pdo","smoothed_nino","smoothed_pdsi","smoothed_spei","smoothed_temp","smoothed_yearlyppt","smoothed_summerppt","smoothed_winterppt"
1954,-0.613698119104093,-0.071381411577705,0.487823414204739,-0.0304052367026359,14.6225986610235,223.573750999685,149.446742799787,86.5436834635931
1955,-0.658715818278066,-0.0706636744957138,0.484235130191642,-0.0288630830953997,14.6223601001011,224.176481350783,150.003791775059,86.6079371848069
1956,-0.695597292396333,-0.0699124026830319,0.480647375923341,-0.0261869655593643,14.6220981787343,224.951335052185,150.611832770218,86.6721920177309
1957,-0.724021722965337,-0.0691276627360523,0.477060144223925,-0.0223793028320645,14.6218571296217,225.89901451307,151.26917045462,86.7364479629397
1958,-0.743830986175671,-0.0683095928399116,0.47347342453099,-0.0174619733936425,14.6216839436385,227.017963354422,151.973590478007,86.800705007735
1959,-0.755018512011363,-0.0674583910619325,0.469887202934132,-0.0114759130018734,14.6216279276813,228.304419466492,152.722390897451,86.8649631256691
1960,-0.757714228844111,-0.0665743040009446,0.466301462279561,-0.00448030354286759,14.6217402720932,229.752509881381,153.512421591982,86.9292222762993
1961,-0.752166587458146,-0.0656576162508729,0.462716182337026,0.00344860731990476,14.622073629891,231.35438216912,154.340130362927,86.9934824051632
1962,-0.738722753511412,-0.0647086410866645,0.459131340023401,0.0122190060703816,14.6226817082721,233.100366169024,155.201614281816,87.0577434439655
1963,-0.717808093848407,-0.0637277127134416,0.455546909675792,0.0217252755762131,14.6236188713968,234.979159279461,156.092674765526,87.1220053109575
1964,-0.689906062249415,-0.0627151803389996,0.451962863365797,0.0318499573193639,14.6249397522528,236.978028246417,157.008874829683,87.1862679114894
1965,-0.655539512580421,-0.0616714042382887,0.448379171245773,0.0424658490747131,14.626698870605,239.083020430041,157.945596997301,87.2505311387158
1966,-0.615254335985433,-0.0605967538800895,0.444795801917495,0.0534381740760448,14.628950253641,241.279177876276,158.898100417516,87.3147948744313
1967,-0.569606144436496,-0.0594916080853548,0.441212722813571,0.0646267607913871,14.6317470559302,243.550748132194,159.861575872881,87.3790589900161
1968,-0.519150508963265,-0.0583563570870612,0.437629900582301,0.0758881780045445,14.6351411757485,245.881386606957,160.83119751943,87.4433233474747
1969,-0.464437024094589,-0.0571914062679652,0.434047301467319,0.0870777773355807,14.6391828656152,248.254346317231,161.802170401151,87.5075878005503
1970,-0.406007219243039,-0.0559971812689114,0.430464891674292,0.0980516043353305,14.6439203360006,250.652652025115,162.76977300249,87.5718521959047
1971,-0.344396087569641,-0.0547741340902016,0.426882637718137,0.108668149273788,14.6493993525314,253.059257007578,163.729394338733,87.6361163743551
1972,-0.280136766585551,-0.0535227497551612,0.423300506745497,0.118789919153084,14.6556628285451,255.457181922642,164.67656532459,87.7003801721635
1973,-0.213767695222796,-0.0522435530709809,0.419718466828657,0.128284822745282,14.6627504164416,257.829636393908,165.606984396097,87.7646434223768
1974,-0.145841400091716,-0.0509371150087658,0.416136487228455,0.137027370076651,14.6706981028554,260.160124964395,166.516537580998,87.8289059562189
1975,-0.0769339392381613,-0.0496040582334424,0.412554538625094,0.144899696244495,14.6795378141278,262.432539918148,167.401313409344,87.8931676045377
1976,-0.00765396319175566,-0.0482450613448117,0.408972593316974,0.151792426302864,14.6892970397995,264.63124408641,168.257613221515,87.9574281993085
1977,0.0613496576698739,-0.0468608614422349,0.40539062538872,0.157605402992044,14.6999984828136,266.741147126805,169.081957560589,88.0216875751968
1978,0.129382637286592,-0.0454522546959427,0.401808610850335,0.162248301901593,14.7116597457138,268.747778850546,169.871089424068,88.0859455711785
1979,0.195703398187241,-0.0440200946941485,0.398226527750039,0.165641159439368,14.724293062351,270.637363001973,170.621975196964,88.1502020322144
1980,0.259525236002936,-0.0425652884346365,0.394644356263587,0.167714837424094,14.7379050843819,272.39689444277,171.331804090591,88.214456810969
1981,0.320023032591004,-0.0410887899370136,0.391062078762937,0.168411444758503,14.752496731212,274.014222026815,171.997986874503,88.2787097695606
1982,0.376344773280557,-0.03959159156396,0.387479679866918,0.167684731393878,14.7680631109686,275.478138572784,172.618154612919,88.3429607813205
1983,0.427627847764407,-0.0380747132509648,0.383897146476126,0.165500463292777,14.7845935186465,276.77847832842,173.190158009218,88.4072097325361
1984,0.473019826438414,-0.0365391899496912,0.380314467793699,0.16183677967766,14.8020715158065,277.906221220421,173.712067828141,88.4714565241448
1985,0.511703117649266,-0.0349860576857695,0.376731635332939,0.156684525953699,14.8204750941635,278.853602053982,174.182176711861,88.5357010733388
