system:index,AFGC,BG,BUFF_DIST,LTR,NAME,OBJECTID,OBJECTID_1,ORIG_FID,PFGC,POINT_X,POINT_Y,SHR,Shape_Area,Shape_Leng,TREE
1991_0000000000000000004b,2.823529412,49.74509804,10,12.51960784,PSG2,76,76,75,25.64705882,337936.63,3612171.25,8.205882353,314.1592654,62.83185307,1
1991_0000000000000000004c,1.766990291,48.50485437,10,11.85436893,PSG3,77,77,76,29.47572816,337967.75,3612225,7.533980583,314.1592654,62.83185307,1.436893204
1991_0000000000000000004d,3.99047619,47.02857143,10,11.99047619,PSG4,78,78,77,31.98095238,337954.13,3612239.5,7.00952381,314.1592654,62.83185307,1
1991_0000000000000000004e,3.447619048,49.66666667,10,11.11428571,PSG5,79,79,78,28.48571429,337984.09,3612262,7.857142857,314.1592654,62.83185307,0.942857143
1991_0000000000000000004f,4,49,10,11,PSG6,80,80,79,27,337977.78,3612278.75,8,314.1592654,62.83185307,1
1991_00000000000000000050,1,52.06666667,10,13,PSG7,81,81,80,23.2,338023.25,3612335.75,9.866666667,314.1592654,62.83185307,2
1991_00000000000000000051,1.288461538,50.98076923,10,13.30769231,PSG8,82,82,81,23.51923077,338037.78,3612344.75,9.461538462,314.1592654,62.83185307,1.711538462
1991_00000000000000000052,1.660194175,46.66019417,10,13,PSG9,83,83,82,29,338055.66,3612404.75,8,314.1592654,62.83185307,1
1991_00000000000000000053,6,45.36363636,10,10,R1,84,84,83,27.14545455,338167.72,3608027.5,5,314.1592654,62.83185307,1
1991_00000000000000000054,1.598039216,48.81372549,10,9.401960784,R2,85,85,84,31.78431373,338958.28,3606602.75,5,314.1592654,62.83185307,1
1991_00000000000000000055,1.640776699,53.7184466,10,9.213592233,R3,86,86,85,23.78640777,338952.66,3605865.5,7,314.1592654,62.83185307,1
1991_00000000000000000056,2,51,10,8,R4,87,87,86,25,338668.31,3605148,5,314.1592654,62.83185307,1
1991_00000000000000000057,0,11.50961538,10,7,S1,88,88,87,51.86538462,356579.41,3605747.75,13.11538462,314.1592654,62.83185307,3.115384615
1991_00000000000000000058,0,19.96153846,10,12,S2,89,89,88,27.82692308,356549.69,3605796.75,10.96153846,314.1592654,62.83185307,7.134615385
1991_00000000000000000059,0,18.94545455,10,9.209090909,S3,90,90,89,30.00909091,352228.28,3616644,11.20909091,314.1592654,62.83185307,5.945454545
1991_0000000000000000005a,0,18.19047619,10,7.4,S4,91,91,90,32.72380952,352246.03,3616642.5,12.58095238,314.1592654,62.83185307,5.285714286
1991_0000000000000000005b,0,15.61111111,10,6.555555556,S5,92,92,91,33.83333333,352505,3616572.75,15.27777778,314.1592654,62.83185307,6.888888889
1991_0000000000000000005c,0,21.38461538,10,6,S6,93,93,92,23,353207.41,3616353.5,19.38461538,314.1592654,62.83185307,7.769230769
1991_0000000000000000005d,0,15.05769231,10,6.971153846,T1,94,94,93,40.31730769,329557.25,3621028.25,8.028846154,314.1592654,62.83185307,0
1991_0000000000000000005e,0,16.06422018,10,5.596330275,T10,95,95,94,62.9266055,334791.31,3613537.25,6.605504587,314.1592654,62.83185307,0.504587156
1991_0000000000000000005f,0.378640777,18.33009709,10,7,T11,96,96,95,54.76699029,333677.28,3615709.5,5.902912621,314.1592654,62.83185307,0
1991_00000000000000000060,1,22.82524272,10,5.669902913,T2,97,97,96,42.82524272,329806.31,3621462,6.834951456,314.1592654,62.83185307,0
1991_00000000000000000061,2.980582524,21.88349515,10,6.980582524,T3,98,98,97,45.03883495,330570.25,3621158,6.097087379,314.1592654,62.83185307,0
1991_00000000000000000062,3.611650485,16.75728155,10,5.650485437,T4,99,99,98,46.19417476,331390.06,3621068,9.747572816,314.1592654,62.83185307,0
1991_00000000000000000063,0,21.60576923,10,8,T5,100,100,99,50.82692308,331805.53,3620063,8.826923077,314.1592654,62.83185307,0
1991_00000000000000000064,0.490384615,26,10,8.759615385,T6,101,101,100,45.22115385,332041.84,3619440.75,7.894230769,314.1592654,62.83185307,0
1991_00000000000000000065,3.528301887,2.471698113,10,7,T7,102,102,101,62.79245283,335668.25,3611183.5,7.528301887,314.1592654,62.83185307,0
1991_00000000000000000066,2.582524272,6.689320388,10,5.961165049,T8,103,103,102,60.62135922,334990.53,3611828.5,6.757281553,314.1592654,62.83185307,0.058252427
1991_00000000000000000067,5.673076923,7.692307692,10,6.326923077,T9,104,104,103,60.98076923,334568.41,3612037.75,7,314.1592654,62.83185307,0.326923077
1991_00000000000000000068,3.301886792,31.44339623,10,13.12264151,U1,105,105,104,43,334869.69,3604543,5.58490566,314.1592654,62.83185307,0
1991_00000000000000000069,2,34,10,12,U2,106,106,105,47,334877.06,3603779.25,3,314.1592654,62.83185307,0
1991_0000000000000000006a,2.490740741,35.40740741,10,9.925925926,U3,107,107,106,46.03703704,334457.69,3603496.5,4.018518519,314.1592654,62.83185307,0
1991_0000000000000000006b,1.12962963,42.61111111,10,12.93518519,U4,108,108,107,32.06481481,334884.56,3602798,5.064814815,314.1592654,62.83185307,0.064814815
1991_0000000000000000006c,1,39.26666667,10,10.21904762,U5,109,109,108,30.2952381,335279.25,3602140,7.60952381,314.1592654,62.83185307,0.60952381
1991_0000000000000000006d,1,56,10,12,V1,110,110,109,18,343235.81,3609046.5,10,314.1592654,62.83185307,2
1991_0000000000000000006e,1.828571429,56.37142857,10,9.828571429,V2,111,111,110,20.45714286,344643.06,3608392.75,6.171428571,314.1592654,62.83185307,1
1991_0000000000000000006f,0,29,10,7,V4,112,112,111,34,345433.28,3608622.5,16,314.1592654,62.83185307,1
1991_00000000000000000070,0.375,30.84615385,10,8.269230769,V5,113,113,112,39.77884615,346098.44,3608337,9.211538462,314.1592654,62.83185307,1.144230769
1991_00000000000000000071,0.123809524,56.86666667,10,10.75238095,V6,114,114,113,15.62857143,346756.28,3608042.5,10.87619048,314.1592654,62.83185307,1
1991_00000000000000000072,1.704761905,31.96190476,10,8.79047619,V3,115,115,114,35.55238095,345338.81,3608621.75,11.34285714,314.1592654,62.83185307,0.885714286
1991_00000000000000000073,2.682692308,35.09615385,10,8.682692308,Y1,116,116,115,33.85576923,336628.91,3596936,9,314.1592654,62.83185307,1
1991_00000000000000000074,3,37.11111111,10,9,Y2,117,117,116,30.87037037,336642.34,3596937.25,9.037037037,314.1592654,62.83185307,1
1991_00000000000000000075,3.432692308,55.77884615,10,9.432692308,Y3,118,118,117,19.625,340070.69,3609672.75,5.432692308,314.1592654,62.83185307,1
1991_00000000000000000076,3.064220183,20.33027523,10,4.587155963,Y7,119,119,118,67.78899083,340018,3609540.5,1.321100917,314.1592654,62.83185307,0
